month,PfPR U5,Cases U5,Severe cases U5,Pop U5,PfPR_2to10,annualeir,year,x_Temporary_Larval_Habitat,Run_Number
5,0.0,0.0,0.0,349.9,0.0,0.0,2011,0.013865109906787925,0
6,0.0,0.0,0.0,352.3333333333,0.0,0.0,2011,0.013865109906787925,0
7,0.009993337774817,0.2431712187827,0.0,350.2333333333,0.007580331387939,0.0,2011,0.013865109906787925,0
8,0.005748778384593,0.0,0.0,347.9,0.00528004277503,0.0,2011,0.013865109906787925,0
9,0.006436737438755,0.0,0.0,346.9666666667,0.005900496178088,0.01830800701246,2011,0.013865109906787925,0
10,9.592326139089e-05,0.0,0.0,347.5,0.0004666044527396,0.0,2011,0.013865109906787925,0
11,0.001642988305789,0.0,0.0,344.9,0.002551191675059,0.0,2011,0.013865109906787925,0
12,0.0,0.0,0.0,348.9333333333,6.73899858481e-05,0.0,2011,0.013865109906787925,0
1,0.0,0.0,0.0,350.9666666667,0.0,0.0,2012,0.013865109906787925,0
2,0.0,0.0,0.0,351.0,0.0,0.0,2012,0.013865109906787925,0
3,0.0,0.0,0.0,350.1666666667,0.0,0.0,2012,0.013865109906787925,0
4,0.0,0.0,0.0,346.4333333333,0.0,0.0,2012,0.013865109906787925,0
5,0.0,0.0,0.0,346.5333333333,0.0,0.0,2012,0.013865109906787925,0
6,0.0,0.0,0.0,347.5666666667,0.0,0.0,2012,0.013865109906787925,0
7,0.0,0.0,0.0,349.5,0.004616928738709,0.0,2012,0.013865109906787925,0
8,0.0,0.0,0.0,349.6666666667,0.003948865537782,0.0,2012,0.013865109906787925,0
9,0.0,0.0,0.0,349.6666666667,0.00449573911293,0.0,2012,0.013865109906787925,0
10,0.0,0.0,0.0,350.8,0.001924353019244,0.006101638248078,2012,0.013865109906787925,0
11,0.0,0.0,0.0,348.6666666667,0.0003932621091958,0.0,2012,0.013865109906787925,0
12,0.0,0.0,0.0,345.9,0.0,0.0,2012,0.013865109906787925,0
1,0.0,0.0,0.0,345.8333333333,0.0,0.0,2013,0.013865109906787925,0
2,0.0,0.0,0.0,344.7333333333,0.0,0.0,2013,0.013865109906787925,0
3,0.0,0.0,0.0,343.3666666667,0.0,0.0,2013,0.013865109906787925,0
4,0.0,0.0,0.0,341.4,0.0,0.0,2013,0.013865109906787925,0
5,0.0,0.0,0.0,339.1333333333,0.0,0.0,2013,0.013865109906787925,0
6,0.0,0.0,0.0,341.2666666667,0.0,0.0,2013,0.013865109906787925,0
7,0.004365117858182,0.1062178686261,0.0,343.6333333333,0.004577986975305,0.0,2013,0.013865109906787925,0
8,0.002018066500096,0.0,0.0,346.8666666667,0.003329199033879,0.0,2013,0.013865109906787925,0
9,0.001820446488455,0.0,0.0,347.9,0.002673622432344,0.01817427786553,2013,0.013865109906787925,0
10,0.0,0.0,0.0,345.7333333333,0.001762172040204,0.0,2013,0.013865109906787925,0
11,0.0,0.0,0.0,347.2333333333,0.0003252032520325,0.0,2013,0.013865109906787925,0
12,0.0,0.0,0.0,350.2666666667,0.0001302677001238,0.0,2013,0.013865109906787925,0
1,0.0,0.0,0.0,352.1,0.0005206299622543,0.0,2014,0.013865109906787925,0
2,0.0,0.0,0.0,353.1333333333,0.0,0.0,2014,0.013865109906787925,0
3,0.0,0.0,0.0,354.2333333333,0.0,0.0,2014,0.013865109906787925,0
4,0.0,0.0,0.0,357.3666666667,0.0,0.0,2014,0.013865109906787925,0
5,0.0,0.0,0.0,358.3666666667,0.0,0.0,2014,0.013865109906787925,0
6,0.0,0.0,0.0,358.7666666667,0.0,0.0,2014,0.013865109906787925,0
7,0.01247771836007,0.3081902749836,0.0,355.3,0.0102119460501,0.0,2014,0.013865109906787925,0
8,0.01134445902869,0.0,0.0,355.5333333333,0.007831557324432,0.0,2014,0.013865109906787925,0
9,0.00907984648507,0.0,0.0,356.1,0.006083748624684,0.0,2014,0.013865109906787925,0
10,0.003662659654395,0.0,0.0,354.9333333333,0.001946661475569,0.0,2014,0.013865109906787925,0
11,0.0,0.0,0.0,359.2,0.00129592431802,0.0,2014,0.013865109906787925,0
12,0.0,0.0,0.0,362.8,0.0005176653293646,0.0,2014,0.013865109906787925,0
1,0.0008703977717817,0.0,0.0,382.9666666667,0.0,0.0,2011,0.03138568472155922,0
2,0.0002576876825288,0.0,0.0,388.0666666667,0.0,0.0,2011,0.03138568472155922,0
3,0.0,0.0,0.0,388.9333333333,0.0,0.0,2011,0.03138568472155922,0
4,0.0,0.0,0.0,383.0,0.0,0.0,2011,0.03138568472155922,0
5,0.0,0.0,0.0,379.4666666667,0.0,0.0,2011,0.03138568472155922,0
6,0.0,0.0,0.0,377.6,0.0,0.0,2011,0.03138568472155922,0
7,0.003488372093023,0.09794275090098,0.0,372.6666666667,0.002583328082666,0.0,2011,0.03138568472155922,0
8,0.0004474272930649,0.0,0.0,372.5,0.0,0.0,2011,0.03138568472155922,0
9,0.0,0.0,0.0,374.7,0.0,0.01170716129009,2011,0.03138568472155922,0
10,0.0,0.0,0.0,371.7333333333,0.0,0.0,2011,0.03138568472155922,0
11,0.0,0.0,0.0,363.4666666667,0.0,0.0,2011,0.03138568472155922,0
12,0.0,0.0,0.0,358.4666666667,0.0,0.0,2011,0.03138568472155922,0
1,0.0,0.0,0.0,355.3333333333,0.0,0.0,2012,0.03138568472155922,0
2,0.0,0.0,0.0,356.5333333333,0.0,0.0,2012,0.03138568472155922,0
3,0.0,0.0,0.0,350.2,0.0,0.0,2012,0.03138568472155922,0
4,0.0,0.0,0.0,349.0666666667,0.0,0.0,2012,0.03138568472155922,0
5,0.0,0.0,0.0,349.3333333333,0.0,0.0,2012,0.03138568472155922,0
